month_end,n_obs,r2,median_mispricing,mad_mispricing,coef_dispersion
2008-10-31,199,-16614.896449447646,-0.9598359323731573,0.12190363815692895,59435286759.295135
2008-11-28,191,-315092.64472606865,-0.9601111528499259,0.08849722565078222,41447304790.30229
2008-12-31,193,-1008257.9192010211,-0.9504849548570028,0.08873883310740849,37845631985.97222
2009-01-30,187,-683857.5175032282,-0.9453676802806965,0.0799621476046164,47499225994.1285
2009-02-27,176,-339043.3755326201,-0.9474403493472421,0.07561405041514324,25331407213.87921
2009-03-31,183,-12415.300007824573,-0.9400973669570877,0.08977168430113969,36455825056.72467
2009-04-30,193,-416774.89673528756,-0.9474063631129476,0.08682836252705273,57824949099.72167
2009-05-29,199,-329005.65015666775,-0.9442354545911834,0.07995600017094429,79605156658.97987
2009-06-30,198,-301779.74489775463,-0.9634955862082883,0.10545595339083086,42818938618.61787
2009-07-31,204,-657862.7121847351,-0.9441177281105584,0.08015873159373116,26509552961.78274
2009-08-31,206,-119888.53722112774,-0.9520968680677655,0.07541300921560123,55067535347.06115
2009-09-30,206,-1358603.4341034421,-0.9577797245914377,0.0919179696468404,29889478653.781425
2009-10-30,198,-17597.72870787806,-0.9579014076450049,0.09320121183847901,43323291005.44419
2009-11-30,199,-449769.1238289672,-0.965780390195713,0.0850896250119324,42689687385.02227
2009-12-31,201,-706874.2416013632,-0.955737674640716,0.09232885949408853,10751742822.12757
2010-01-29,203,-519562.1974968509,-0.9425454197754198,0.10705520859133288,11780797142.527573
2010-02-26,200,-337245.8907347529,-0.9434254605508678,0.09365465454661548,9908311138.07032
2010-03-31,204,-644062.7556287246,-0.9492547387410968,0.10973526342960221,16242088513.87713
2010-04-30,205,-1463529.8901912444,-0.9438200154119083,0.09308531457887159,21391730315.61377
2010-05-28,199,-848681.4497803978,-0.9551128637729601,0.11160932418034142,17121438376.456251
2010-06-30,195,-1490502.5121279904,-0.963637217751314,0.10356846547529652,26471297343.342594
2010-07-30,198,-601414.5003827015,-0.9667124525546207,0.07423650460215525,58179850094.3246
2010-08-31,200,-468348.33277879475,-0.950061817153528,0.09477250853153629,44484466853.086876
2010-09-30,210,-309982.6828770054,-0.9313259607414923,0.08328570564035614,38360547162.01799
2010-10-29,221,-1101979.6831382406,-0.945877402864515,0.09301919744303977,33936149889.01351
2010-11-30,234,-181918.87133917617,-0.9581514038736565,0.07048150066985714,26003739712.04675
2010-12-31,246,-17390.541684489002,-0.9557988658409189,0.08325824067438825,54304753894.360634
2011-01-31,252,-589938.3862183004,-0.9595801957336014,0.06613341739178408,88380982510.54282
2011-02-28,263,-105286.9243720771,-0.9223964611206044,0.08535293136224564,14739034525.218409
2011-03-31,267,-112311.18000322266,-0.9588897999433468,0.0785366536664508,34453411917.16588
2011-04-29,271,-200442.37379370083,-0.9371491424412965,0.0909476094520365,15252812295.947485
2011-05-31,278,-176639.18215887126,-0.9457161248667405,0.06726557814435141,46612155213.59299
2011-06-30,282,-66146.20913953094,-0.9460786525900731,0.09343749691611858,53701288190.38465
2011-07-29,302,-168943.19974653926,-0.9484907736794345,0.09630443952885104,19650793522.493492
2011-08-31,298,-66048.65660584335,-0.9255495486189314,0.0875138444342265,19261483875.29745
2011-09-30,296,-93525.53259678504,-0.92231936952179,0.11477226296126575,14295318202.371037
2011-10-31,304,-291183.9372210647,-0.9258770605267648,0.0933490894059299,31340435019.338684
2011-11-30,306,-28760.913885510014,-0.9106783164314987,0.10431822113926781,14084625518.654297
2011-12-30,314,-165796.73916849573,-0.9182735201694974,0.09246848383921957,29793386005.54339
2012-01-31,322,-248357.42109435648,-0.9256474005123865,0.09668987516257471,6891696098.598204
2012-02-29,338,-134149.77292018576,-0.9349605093511808,0.10141382230999951,15724763568.24684
2012-03-30,354,-47512.53754579104,-0.9127300045632721,0.1041429491050645,10296859880.942034
2012-04-30,365,-5461.997468819224,-0.9244745056788997,0.100278164658126,5398348701.449683
2012-05-31,366,-35873.680654016716,-0.9287742359620675,0.09944169102142142,8161212437.022286
2012-06-29,368,-15839.648205034466,-0.9142196776669058,0.10350167794072634,30849848630.273968
2012-07-31,380,-19578.497707505052,-0.9543175438417966,0.0798876969843198,79777046189.41267
2012-08-31,387,-17179.329045633138,-0.9264847459797895,0.0959410607545893,6435808769.236656
2012-09-28,391,-12098.16214175047,-0.9199460939599465,0.09686027333760461,3383278317.810031
2012-10-31,405,-19847.52517461941,-0.93700469224336,0.08856336732495917,12003559665.891994
2012-11-30,405,-38668.57568060565,-0.9270377474595888,0.08945865202649528,9195045254.751915
