industry,year,beta_mean,beta_std,N,window
Transportation & Utilities,2018,0.7724316042537098,0.5726495595335241,10,24m
Transportation & Utilities,2019,0.9157640300338851,0.5985690097007081,9,24m
Transportation & Utilities,2020,0.9128405581538364,0.6563658016959211,10,24m
Transportation & Utilities,2021,0.9532324394664842,0.6152753727646496,10,24m
Transportation & Utilities,2022,0.6990501748758062,0.5754443616954578,10,24m
Transportation & Utilities,2023,1.0983854113640337,0.567929469391143,10,24m
Unknown,1999,0.429929273729717,,1,24m
Unknown,2000,0.24651006703733275,1.179110316586389,2,24m
Unknown,2001,-0.07553279752912126,,1,24m
Unknown,2003,2.146062319961713,3.0121192663889778,2,24m
Unknown,2010,1.0730865675541015,,1,24m
Unknown,2011,2.5098775240572984,,1,24m
Unknown,2014,1.2814876293957325,3.863095438723504,4,24m
Unknown,2015,1.3117934754169547,1.007070440583733,6,24m
Unknown,2016,1.1375691297842958,1.7142655416359323,4,24m
Unknown,2018,0.1491521142964938,0.25538251461960204,3,24m
Unknown,2019,0.617223688925304,0.7861649139405794,4,24m
Unknown,2020,1.1132923047790484,0.5967243701340964,6,24m
Unknown,2021,0.8798613380307463,0.68026817862351,9,24m
Unknown,2022,0.4309698399933887,0.8668253936406869,6,24m
Unknown,2023,0.524099916595644,1.1099073661598278,10,24m
Wholesale Trade,1996,1.1042796757783673,1.475851553480335,7,24m
Wholesale Trade,1997,1.0309997308371488,0.8608115530347492,10,24m
Wholesale Trade,1998,1.9903728861270733,1.9968775003103185,9,24m
Wholesale Trade,1999,1.051001046706158,0.5533527729224159,10,24m
Wholesale Trade,2000,1.1912796764206506,1.3134725717888758,8,24m
Wholesale Trade,2001,1.2587484949614955,0.8446654256439828,9,24m
Wholesale Trade,2002,0.950598599289511,0.8284680432347928,10,24m
Wholesale Trade,2003,0.8680422402578334,0.6324307241242264,9,24m
Wholesale Trade,2004,1.4280075989177496,1.2525073023331674,10,24m
Wholesale Trade,2005,1.951832804464275,2.1654829555768362,10,24m
Wholesale Trade,2006,1.7266883022984456,0.9220181286562832,7,24m
Wholesale Trade,2007,1.9621279546775412,0.908164762203694,9,24m
Wholesale Trade,2008,0.8482717742728378,0.5559550017021438,9,24m
Wholesale Trade,2009,1.4667405142478454,0.8598464147111698,10,24m
Wholesale Trade,2010,1.274056183161548,0.909476740272907,10,24m
Wholesale Trade,2011,1.3922549707603697,0.5346228901734023,10,24m
Wholesale Trade,2012,1.0080277144357144,0.5438564096925473,10,24m
Wholesale Trade,2013,1.5792251980181948,0.9416197498326684,10,24m
Wholesale Trade,2014,1.0481146517433395,1.0547733853379906,8,24m
Wholesale Trade,2015,1.3109843077616001,1.3394985894615692,10,24m
Wholesale Trade,2016,1.6233314692360916,0.9675302052706755,10,24m
Wholesale Trade,2017,1.702131391919987,1.1345131895363154,10,24m
Wholesale Trade,2018,0.7227507646512544,0.9675657885508175,10,24m
