Date,Signal,Position,AccountValue
2012-02-24,0,20,10102.335667610168
2012-02-27,0,20,10104.72855091095
2012-02-28,0,20,10111.621403694153
2012-02-29,0,20,10116.642804145813
2012-03-01,0,20,10118.09280872345
2012-03-02,0,20,10118.599972724915
2012-03-05,0,20,10110.014271736145
2012-03-06,-1,0,10107.942814826965
2012-03-07,0,0,10107.942814826965
2012-03-08,0,0,10107.942814826965
2012-03-09,1,10,10107.942814826965
2012-03-12,1,20,10110.382103919983
2012-03-13,0,20,10121.8820810318
2012-03-14,0,20,10137.224946022034
2012-03-15,0,20,10134.35350894928
2012-03-16,0,20,10134.360642433167
2012-03-19,0,20,10145.453515052795
2012-03-20,0,20,10148.92496585846
2012-03-21,0,20,10146.453499794006
2012-03-22,-1,0,10144.196381568909
2012-03-23,0,0,10144.196381568909
2012-03-26,0,0,10144.196381568909
2012-03-27,0,0,10144.196381568909
2012-03-28,1,10,10144.196381568909
2012-03-29,0,10,10141.424946784973
2012-03-30,-1,0,10137.742810249329
2012-04-02,0,0,10137.742810249329
2012-04-03,0,0,10137.742810249329
2012-04-04,0,0,10137.742810249329
2012-04-05,0,0,10137.742810249329
2012-04-09,0,0,10137.742810249329
2012-04-10,0,0,10137.742810249329
2012-04-11,0,0,10137.742810249329
2012-04-12,0,0,10137.742810249329
2012-04-13,0,0,10137.742810249329
2012-04-16,0,0,10137.742810249329
2012-04-17,0,0,10137.742810249329
2012-04-18,0,0,10137.742810249329
2012-04-19,0,0,10137.742810249329
2012-04-20,0,0,10137.742810249329
2012-04-23,0,0,10137.742810249329
2012-04-24,0,0,10137.742810249329
2012-04-25,0,0,10137.742810249329
2012-04-26,0,0,10137.742810249329
2012-04-27,0,0,10137.742810249329
2012-04-30,0,0,10137.742810249329
2012-05-01,0,0,10137.742810249329
2012-05-02,0,0,10137.742810249329
2012-05-03,0,0,10137.742810249329
2012-05-04,0,0,10137.742810249329
2012-05-07,0,0,10137.742810249329
2012-05-08,0,0,10137.742810249329
2012-05-09,0,0,10137.742810249329
2012-05-10,0,0,10137.742810249329
2012-05-11,0,0,10137.742810249329
2012-05-14,0,0,10137.742810249329
2012-05-15,0,0,10137.742810249329
2012-05-16,0,0,10137.742810249329
2012-05-17,0,0,10137.742810249329
2012-05-18,0,0,10137.742810249329
2012-05-21,0,0,10137.742810249329
2012-05-22,0,0,10137.742810249329
2012-05-23,0,0,10137.742810249329
2012-05-24,0,0,10137.742810249329
2012-05-25,0,0,10137.742810249329
2012-05-29,0,0,10137.742810249329
2012-05-30,0,0,10137.742810249329
2012-05-31,0,0,10137.742810249329
2012-06-01,0,0,10137.742810249329
2012-06-04,0,0,10137.742810249329
2012-06-05,0,0,10137.742810249329
2012-06-06,0,0,10137.742810249329
2012-06-07,0,0,10137.742810249329
2012-06-08,1,10,10137.742810249329
2012-06-11,0,10,10134.474968910217
2012-06-12,0,10,10136.257100105286
2012-06-13,0,10,10134.828534126282
2012-06-14,-1,0,10134.603524208069
2012-06-15,0,0,10134.603524208069
2012-06-18,0,0,10134.603524208069
2012-06-19,1,10,10134.603524208069
2012-06-20,0,10,10134.007096290588
2012-06-21,-1,0,10131.124939918518
2012-06-22,0,0,10131.124939918518
2012-06-25,0,0,10131.124939918518
2012-06-26,0,0,10131.124939918518
2012-06-27,0,0,10131.124939918518
2012-06-28,0,0,10131.124939918518
2012-06-29,0,0,10131.124939918518
2012-07-02,0,0,10131.124939918518
2012-07-03,1,10,10131.124939918518
2012-07-05,1,20,10134.885659217834
2012-07-06,0,20,10131.985650062561
2012-07-09,0,20,10137.707085609436
2012-07-10,0,20,10133.64996433258
2012-07-11,-1,0,10130.949959754944
2012-07-12,0,0,10130.949959754944
2012-07-13,0,0,10130.949959754944
2012-07-16,0,0,10130.949959754944
2012-07-17,1,10,10130.949959754944
2012-07-18,0,10,10130.707097053528
2012-07-19,0,10,10133.585667610168
2012-07-20,0,10,10130.007100105286
2012-07-23,-1,0,10129.839234352112
2012-07-24,0,0,10129.839234352112
2012-07-25,0,0,10129.839234352112
2012-07-26,0,0,10129.839234352112
2012-07-27,0,0,10129.839234352112
2012-07-30,0,0,10129.839234352112
2012-07-31,1,10,10129.839234352112
2012-08-01,0,10,10128.428521156311
2012-08-02,0,10,10128.778519630432
2012-08-03,0,10,10131.603531837463
2012-08-06,1,20,10134.049954414368
2012-08-07,0,20,10132.87853717804
2012-08-08,-1,0,10132.128529548645
2012-08-09,0,0,10132.128529548645
2012-08-10,0,0,10132.128529548645
